file,line,function,feature,query_shape,migration_class,migration_status,routes_to
scripts/queries/flows.py,500-540,ownership_trend_summary helpers,Flows ownership trend,shares_history (pre-agg) → shares_history rebuild keyed by tp_eid,L,PENDING_CP5_5,cp-5-5 (shares_history rebuild)
scripts/queries/flows.py,600-625,peer_rotation_detail,Flows peer rotation,holdings_v2 → R5 unified,S,PENDING_CP5_5,cp-5-5 (Flows)
scripts/queries/trend.py,108-160,holder_momentum,Trend holder momentum,holdings_v2 → R5 unified (fixes None-eid fallback),M,PENDING_CP5_5,cp-5-5 (Trend / momentum)
scripts/queries/trend.py,170-205,holder_momentum (fund),Trend fund children,fund_holdings_v2 + parent_fund_map → View 2 template,S,PENDING_CP5_6,cp-5-6 (View 2 / Tier-3)
scripts/queries/trend.py,370-380,ownership_trend_summary,Trend distinct holders,holdings_v2 → R5 distinct(tp_eid),S,PENDING_CP5_5,cp-5-5 (Trend)
scripts/queries/entities.py,120-170,get_entity_descendants,Entity descendants,ER walk (multi-hop),M,PENDING_CP5_6,cp-5-6 (ER multi-hop / control_type set)
scripts/queries/entities.py,230-330,compute_aum_for_subtree,Entity AUM subtree,holdings_v2 + ER → multi-hop ER + R5 unified,L,PENDING_CP5_5,cp-5-5 (AUM subtree)
scripts/queries/entities.py,360-400,search_entity_parents,Entity hierarchy search,entity_current.rollup_entity_id → top_parent_entity_id,S,PENDING_CP5_6,cp-5-6 (entity hierarchy / Tier-3)
scripts/queries/common.py,258-380,match_nport_family,NPORT family bridge,fund_holdings_v2 (REGEX NAME) → entity-keyed lookup,L,PENDING_CP5_BUNDLE_C_NPORT,Bundle C row 26 — NPORT bridge retire (post-CP-5)
scripts/queries/common.py,488-820,get_nport_children*,NPORT children dispatch,fund_holdings_v2 + N-CEN → entity-keyed lookup,M,PENDING_CP5_BUNDLE_C_NPORT,Bundle C row 26 — NPORT bridge retire (post-CP-5)
scripts/queries_helpers.py,155-170,build_rollup_join,Rollup-join helper,ec.rollup_entity_id → build_top_parent_join helper,M,PENDING_CP5_5,cp-5-5 (helper rename / unified join)
scripts/api_register.py,75-83,api_tickers,Register Tickers autocomplete,SELECT ticker MODE(issuer_name) FROM holdings_v2 WHERE ticker quarter=LQ — pure ticker enumerator,S,N/A_NO_ROLLUP_PATTERN,n/a (no parent display; no migration needed)
scripts/api_fund.py,38-58,api_fund_portfolio_managers,Fund Portfolio Managers (FPM1),top_parent_canonical_name_sql('h') GROUP BY cik fund_name — top-50 fund-portfolio-manager rows for ticker,S,MIGRATED,cp-5-4 (#303) — adjacent to Bundle C scope; surfaced as Q-1 in CP-5.4 recon §1.4
scripts/api_market.py,189-219,api_crowding,Crowding (C2),top_parent_canonical_name_sql('h') GROUP BY holder manager_type — holders top-20,S,MIGRATED,cp-5-4 (#303) — Bundle C api-layer site missed by §7.4 enumeration
scripts/api_market.py,272-313,api_smart_money (longs),Smart Money longs (SM1),GROUP BY manager_type on holdings_v2 latest quarter — long aggregation by type; no rollup pattern,S,N/A_NO_ROLLUP_PATTERN,n/a (cp-5-4 #303 verified no rollup; no migration needed)
scripts/api_market.py,300-310,api_smart_money (nport_shorts),Smart Money N-PORT shorts (SM2),fund_holdings_v2 keyed on fund_name only — N-PORT shorts panel; no rollup pattern,S,N/A_NO_ROLLUP_PATTERN,n/a (cp-5-4 #303 verified no rollup; no migration needed)
scripts/api_common.py,87-100,validate_ticker_current,Ticker validation utility,SELECT 1 FROM holdings_v2 WHERE ticker quarter=LQ is_latest=TRUE — sentinel/404 guard,XS,N/A_NO_ROLLUP_PATTERN,n/a (validation utility; no parent display)
scripts/api_entities.py,37-55,api_entity_search,Entity dropdown autocomplete,delegates to queries.search_entity_parents (queries/entities.py:360-400),S,DELEGATING_WRAPPER,inherits from scripts/queries/entities.py:360-400 (PENDING_CP5_6)
scripts/api_entities.py,58-95,api_entity_children,Cascading entity dropdown,delegates to queries.get_entity_filer_children / get_entity_fund_children,S,DELEGATING_WRAPPER,inherits from scripts/queries/entities.py (PENDING_CP5_6)
scripts/api_entities.py,98-151,api_entity_graph,Entity graph,delegates to queries.build_entity_graph,M,DELEGATING_WRAPPER,inherits from scripts/queries/entities.py (PENDING_CP5_6)
scripts/api_entities.py,154-164,api_entity_market_summary,Top institutions market summary,delegates to queries.get_market_summary (queries/market.py:130-145),S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py:130-145 (MIGRATED in #303)
scripts/api_entities.py,167-194,api_institution_hierarchy,Institution → filers → funds drill,delegates to queries.get_institution_hierarchy (queries/market.py:1040-1130),M,DELEGATING_WRAPPER,inherits from scripts/queries/market.py:1040-1130 (PENDING_CP5_6)
scripts/api_cross.py,37-91,api_cross_ownership / api_cross_ownership_top,Cross-Ownership View 1 / View 2,delegates to queries._cross_ownership_query (queries/cross.py:55-95),S,DELEGATING_WRAPPER,inherits from scripts/queries/cross.py:55-95 (MIGRATED in #301)
scripts/api_cross.py,94-120,api_cross_ownership_fund_detail,Cross fund drill,delegates to queries.get_cross_ownership_fund_detail (queries/cross.py:274-281),S,DELEGATING_WRAPPER,inherits from scripts/queries/cross.py:274-281 (PENDING_CP5_2C)
scripts/api_cross.py,123-149,api_two_company_overlap,2-Company Overlap,delegates to queries.get_two_company_overlap (queries/cross.py:620-650),S,DELEGATING_WRAPPER,inherits from scripts/queries/cross.py:620-650 (MIGRATED in #301)
scripts/api_cross.py,152-177,api_two_company_subject,2-Company Subject-only,delegates to queries.get_two_company_subject (queries/cross.py:649),S,DELEGATING_WRAPPER,inherits from scripts/queries/cross.py:649 (MIGRATED in #301)
scripts/api_cross.py,180-207,api_overlap_institution_detail,2-Company institution drill,delegates to queries.get_overlap_institution_detail (queries/cross.py:535-542),S,DELEGATING_WRAPPER,inherits from scripts/queries/cross.py:535-542 (PENDING_CP5_2C)
scripts/api_flows.py,51-80,api_flow_analysis,Flows entry+peer,delegates to queries.flow_analysis (queries/flows.py:240-285),S,DELEGATING_WRAPPER,inherits from scripts/queries/flows.py:240-285 (PENDING_CP5_5)
scripts/api_flows.py,83-106,api_ownership_trend_summary,Flows ownership trend,delegates to queries.ownership_trend_summary (queries/flows.py:500-540),S,DELEGATING_WRAPPER,inherits from scripts/queries/flows.py:500-540 (PENDING_CP5_5)
scripts/api_flows.py,109-128,api_cohort_analysis,Flows cohort by manager_type,delegates to queries.cohort_analysis (queries/flows.py:340-430),S,DELEGATING_WRAPPER,inherits from scripts/queries/flows.py:340-430 (PENDING_CP5_5)
scripts/api_flows.py,131-148,api_holder_momentum,Trend holder momentum,delegates to queries.holder_momentum (queries/trend.py:108-160),S,DELEGATING_WRAPPER,inherits from scripts/queries/trend.py:108-160 (PENDING_CP5_5)
scripts/api_flows.py,151-173,api_peer_rotation,Flows peer rotation,delegates to queries.get_peer_rotation,S,DELEGATING_WRAPPER,inherits from scripts/queries/flows.py (PENDING_CP5_5)
scripts/api_flows.py,176-201,api_peer_rotation_detail,Flows peer rotation drill,delegates to queries.get_peer_rotation_detail (queries/flows.py:600-625),S,DELEGATING_WRAPPER,inherits from scripts/queries/flows.py:600-625 (PENDING_CP5_5)
scripts/api_flows.py,204-228,api_portfolio_context,Conviction Fund Portfolio,delegates to queries.portfolio_context (queries/fund.py:100-200),L,DELEGATING_WRAPPER,inherits from scripts/queries/fund.py:100-200 (MIGRATED in #303)
scripts/api_market.py,36-46,api_sector_flows,Sector Rotation,delegates to queries.get_sector_flows,S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py (PENDING_CP5_5)
scripts/api_market.py,49-57,api_sector_summary,Sector totals KPI,delegates to queries.get_sector_summary,S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py (PENDING_CP5_5)
scripts/api_market.py,60-68,api_fund_quarter_completeness,N-PORT completeness,delegates to queries.get_fund_quarter_completeness,S,DELEGATING_WRAPPER,inherits from scripts/queries (low-priority utility)
scripts/api_market.py,71-83,api_sector_monthly_flows,Sector monthly flows,delegates to queries.get_sector_monthly_flows,S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py (PENDING_CP5_5)
scripts/api_market.py,86-104,api_sector_flow_movers,Sector flow movers,delegates to queries.get_sector_flow_movers (queries/market.py:710-730),S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py:710-730 (PENDING_CP5_5)
scripts/api_market.py,107-129,api_sector_flow_mover_detail,Sector mover drill,delegates to queries.get_sector_flow_mover_detail,S,DELEGATING_WRAPPER,inherits from scripts/queries/market.py (PENDING_CP5_5)
scripts/api_market.py,132-147,api_short_analysis,Short Interest Analysis,delegates to queries.short_interest_analysis,S,DELEGATING_WRAPPER,inherits from scripts/queries (Crowding-adjacent)
scripts/api_market.py,150-167,api_short_position_pct,Short position %,delegates to queries.get_short_position_pct,S,DELEGATING_WRAPPER,inherits from scripts/queries (Crowding-adjacent)
scripts/api_market.py,170-186,api_short_volume_comparison,FINRA short volume,delegates to queries.get_short_volume_comparison,S,DELEGATING_WRAPPER,inherits from scripts/queries (Crowding-adjacent)
scripts/api_market.py,222-269,api_peer_tickers,Peer tickers (sector/industry),market_data only — no holdings_v2 reader path,XS,N/A_NO_ROLLUP_PATTERN,n/a (market_data classification utility)
scripts/api_register.py,108-162,_execute_query,Query dispatch utility,routes ?qnum= to queries.QUERY_FUNCTIONS — no inline SQL,XS,DISPATCH_UTILITY,n/a (dispatcher; per-query migration tracked at queries.* sites)
scripts/api_register.py,165-183,api_query / api_query1,Bare/enveloped query routes,thin wrapper over _execute_query,XS,DISPATCH_UTILITY,n/a (dispatcher)
scripts/api_register.py,186-272,api_export,Excel export route,calls QUERY_FUNCTIONS[qnum] for export shape only,XS,DISPATCH_UTILITY,n/a (re-export of query result; no separate reader path)
